Country|CountryCode|Province|Week|Confirmed|Deaths|Recoverd|Active|Confirmed_AVG|Deaths_AVG|Recoverd_AVG|Active_AVG|Confirmed_MIN|Deaths_MIN|Recoverd_MIN|Active_MIN|Confirmed_MAX|Deaths_MAX|Recoverd_MAX|Active_MAX
Brazil|BR|Paraiba|08|7437|115|1476|5846|215771.1|4416.3|157064.4|54290.4|212286|4356|156373|51557|219723|4471|157849|57403
Brazil|BR|Parana|05|12918|269|15684|4469|559820.3|10210.2|409885.5|139724.7|551985|10048|400376|137738|564903|10317|416060|142207
Brazil|BR|Parana|06|22041|411|15243|12531|577108.1|10546.6|421354.6|145207.0|564903|10317|416060|138526|586944|10728|431303|151057
Brazil|BR|Parana|07|23996|382|18677|8818|600219.1|10917.1|438961.3|150340.7|588088|10738|431303|146047|612084|11120|449980|154865
Brazil|BR|Parana|08|28278|493|13287|15347|628367.3|11370.0|456054.0|160943.3|615066|11142|450509|153415|643344|11635|463796|168762
Brazil|BR|Pernambuco|05|6741|88|5307|2119|265797.8|10414.0|225228.5|30155.3|261745|10364|221666|28942|268486|10452|226973|31061
Brazil|BR|Pernambuco|06|11151|192|10045|4106|274470.7|10561.6|232642.0|31267.1|268486|10452|226973|29228|279637|10644|237018|33334
Brazil|BR|Pernambuco|07|9028|177|9227|2777|284951.1|10745.3|244443.0|29762.9|280528|10662|240595|28830|289556|10839|249822|31607
Brazil|BR|Pernambuco|08|8359|125|4988|3246|294432.1|10907.9|252232.4|31291.9|290500|10849|249822|29829|298859|10974|254810|33075
Brazil|BR|Piaui|05|2046|47|2817|979|160483.8|3090.0|156965.7|482.3|159290|3065|155732|0|161336|3112|158549|979
Brazil|BR|Piaui|06|3983|63|3082|1164|163523.4|3146.3|159987.0|436.6|161336|3112|158549|0|165319|3175|161631|1164
Brazil|BR|Piaui|07|3329|56|3208|233|167265.6|3210.7|163482.7|572.1|165857|3182|162169|506|169186|3238|165377|739
Brazil|BR|Piaui|08|3825|84|3708|858|171151.0|3277.9|167129.4|743.7|169465|3242|165610|608|173290|3326|169318|1466
Brazil|BR|Rio Grande do Norte|05|1761|32|0|1729|141835.5|3310.0|98586.0|39939.5|140704|3288|98586|38830|142465|3320|98586|40559
Brazil|BR|Rio Grande do Norte|06|5734|72|9634|6273|146241.3|3365.3|103531.4|39344.6|142465|3320|98586|36587|148199|3392|108220|42860
Brazil|BR|Rio Grande do Norte|07|11223|68|9815|10430|156686.0|3430.6|109622.1|43633.3|148598|3404|108220|36974|159821|3472|118035|47404
Brazil|BR|Rio Grande do Norte|08|4673|91|5296|5018|162692.3|3533.9|118791.6|40366.9|160671|3487|118035|38435|165344|3578|123331|43453
Brazil|BR|Rio Grande do Sul|05|12478|214|12189|596|555322.8|10843.0|532442.0|12037.8|548062|10715|525131|11695|560540|10929|537320|12291
Brazil|BR|Rio Grande do Sul|06|23484|426|15562|8832|572724.4|11158.1|548778.9|12787.4|560540|10929|541779|7832|584024|11355|557341|16664
Brazil|BR|Rio Grande do Sul|07|17322|374|14166|3723|592198.6|11525.7|564818.0|15854.9|585346|11379|559001|14143|602668|11753|573167|17866
Brazil|BR|Rio Grande do Sul|08|34611|572|20252|14626|619745.9|12038.6|583552.6|24154.7|604385|11771|575190|17424|638996|12343|595442|32050
Brazil|BR|Rio de Janeiro|05|12136|697|11442|106|530240.7|30244.7|495171.2|4824.8|522998|29848|488340|4784|535134|30545|499782|4890
Brazil|BR|Rio de Janeiro|06|18906|838|18861|3931|545190.4|30954.9|508905.3|5330.3|535134|30545|499782|3676|554040|31383|518643|7607
Brazil|BR|Rio de Janeiro|07|16599|680|16324|2260|563765.9|31774.9|528072.3|3918.7|554835|31487|519564|2741|571434|32167|535888|5001
Brazil|BR|Rio de Janeiro|08|10157|862|8184|3737|576593.6|32588.7|539732.4|4272.4|572007|32173|536670|2746|582164|33035|544854|6483
Brazil|BR|Rondonia|05|4290|67|5933|3355|128106.3|2299.8|106349.5|19457.0|125612|2259|102860|17636|129902|2326|108793|20991
Brazil|BR|Rondonia|06|5882|158|6438|2861|133455.1|2416.7|111817.9|19220.6|129902|2326|108793|17822|135784|2484|115231|20683
Brazil|BR|Rondonia|07|5106|176|4248|2379|139213.7|2594.9|117755.9|18863.0|136603|2509|116261|17833|141709|2685|120509|20212
Brazil|BR|Rondonia|08|5777|142|6906|4720|145245.7|2770.4|124254.0|18221.3|142222|2690|120509|16210|147999|2832|127415|20930
Brazil|BR|Roraima|05|1024|30|1370|1067|74812.0|872.7|69953.3|3986.0|74264|856|69523|3509|75288|886|70893|4576
Brazil|BR|Roraima|06|1913|90|1583|1127|76311.4|925.3|71389.7|3996.4|75288|886|70893|3509|77201|976|72476|4636
Brazil|BR|Roraima|07|1984|61|1825|1827|78202.3|1004.4|74022.4|3175.4|77460|976|72476|2279|79444|1037|74301|4106
Brazil|BR|Roraima|08|2170|63|1801|1153|80567.6|1069.1|74860.6|4637.9|79606|1037|74301|4206|81776|1100|76102|5359
Brazil|BR|Santa Catarina|05|11899|127|13663|3606|585460.8|6445.0|561916.8|17099.0|578550|6363|553342|15239|590449|6490|567005|18845
Brazil|BR|Santa Catarina|06|20850|226|14052|7321|601541.7|6613.3|574996.3|19932.1|590449|6490|569033|14926|611299|6716|583085|22247
Brazil|BR|Santa Catarina|07|23281|202|18107|6444|623747.0|6817.0|592464.4|24465.6|613164|6727|584901|21536|636445|6929|603008|27980
Brazil|BR|Santa Catarina|08|29827|353|19985|9489|653127.9|7118.3|611019.6|34990.0|638984|6961|603008|29015|668811|7314|622993|38504
Brazil|BR|Sao Paulo|05|53441|1234|51941|17504|1811336.2|53815.7|1562726.7|194793.8|1779722|53090|1537739|187390|1833163|54324|1589680|204894
Brazil|BR|Sao Paulo|06|78248|1867|42301|34080|1875604.3|55335.4|1628656.6|191612.3|1833163|54324|1604022|174817|1911411|56191|1646323|208897
Brazil|BR|Sao Paulo|07|57825|1477|89953|45321|1939582.9|56959.1|1702935.1|179688.6|1913598|56266|1646323|165688|1971423|57743|1736276|211009
Brazil|BR|Sao Paulo|08|61340|1629|56339|16795|2003645.6|58542.6|1776118.7|168984.3|1975927|57799|1749210|157554|2037267|59428|1805549|174349
Brazil|BR|Sergipe|05|1818|32|2117|639|139273.7|2804.3|123159.5|13309.8|138187|2786|121751|13011|140005|2818|123868|13650
Brazil|BR|Sergipe|06|4488|51|10715|7226|142476.0|2845.9|129848.4|9781.7|140005|2818|123868|6702|144493|2869|134583|13928
Brazil|BR|Sergipe|07|2570|30|2681|1078|146437.1|2891.3|135658.1|7887.7|145029|2876|134583|7429|147599|2906|137264|8507
Brazil|BR|Sergipe|08|2507|46|4127|2157|149187.7|2930.9|138621.1|7635.7|148026|2909|137264|6187|150533|2955|141391|8344
Brazil|BR|Tocantins|05|1602|21|1157|424|103311.5|1398.3|91344.8|10568.3|102348|1386|90678|10284|103950|1407|91835|10708
Brazil|BR|Tocantins|06|3024|44|2282|938|105538.6|1433.6|96266.9|7838.1|103950|1407|95278|7265|106974|1451|97560|8203
Brazil|BR|Tocantins|07|2355|21|1916|857|108086.6|1463.0|98336.6|8287.0|107163|1455|97693|7989|109518|1476|99609|8846
Brazil|BR|Tocantins|08|3753|36|1576|2141|111502.9|1497.3|100464.1|9541.4|109841|1481|99777|8583|113594|1517|101353|10724
